standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AL,Alabama,ARREST,Calhoun County,Calhounn,N/A,2025-07-07,95608
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Tuscaloosa County,N/A,2025-08-04,208
AL,Alabama,WARRANT,Al Calera Warrant,STATEWIDE,N/A,2024-05-02,568
AL,Alabama,WARRANT,Al Shelby County Warrant,Shelby,N/A,2024-05-02,8903
AL,Alabama,ARREST,Randolph County,STATEWIDE,N/A,2025-07-07,3909
AL,Alabama,ARREST,Lowndes County,STATEWIDE,N/A,2025-07-07,1724
AL,Alabama,WARRANT,Al Calhoun County Warrant,Calhounn,N/A,2024-05-02,5600
AL,Alabama,ARREST,Al Arrest Log Arrest,STATEWIDE,N/A,2024-05-02,3
AL,Alabama,ARREST,Greene County,STATEWIDE,N/A,2024-05-02,56
AL,Alabama,ARREST,Dekalb County,STATEWIDE,N/A,2024-05-02,524
AL,Alabama,ARREST,Alabama Arrest,Madison County,N/A,2025-07-22,3064
AL,Alabama,ARREST,Alabama Arrest,Franklin County,N/A,2025-07-22,424
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Jackson County,N/A,2025-08-04,42
AL,Alabama,COURT,Uncategorized,STATEWIDE,STATEWIDE,2024-05-02,22499
AL,Alabama,ARREST,Jefferson County,Jefferson,N/A,2025-07-07,204671
AL,Alabama,ARREST,Alabama Arrest,Morgan County,N/A,2025-07-22,1557
AL,Alabama,ARREST,Alabama Arrest,Blount County,N/A,2025-07-22,607
AL,Alabama,ARREST,Alabama Arrest,Lawrence County,N/A,2025-07-22,245
AL,Alabama,ARREST,Alabama Arrest,Talladega County,N/A,2025-07-22,653
AL,Alabama,ARREST,Covington County,STATEWIDE,N/A,2024-05-02,48
AL,Alabama,ARREST,Chambers County,STATEWIDE,N/A,2024-05-02,509
AL,Alabama,ARREST,St. Mary County,STATEWIDE,N/A,2024-05-02,4
AL,Alabama,ARREST,Alabama Arrest,Clay County,N/A,2025-07-22,134
AL,Alabama,ARREST,Cherokee County,Cherokee,N/A,2025-07-07,35674
AL,Alabama,SOR,Alabama Sex Offender Registry,STATEWIDE,N/A,2025-07-28,13159
AL,Alabama,ARREST,Walker County,Walker,N/A,2025-07-07,2956
AL,Alabama,ARREST,Alabama Arrest,Chambers County,N/A,2025-07-22,423
AL,Alabama,ARREST,Alabama Arrest,Chilton County,N/A,2025-07-22,440
AL,Alabama,ARREST,Alabama Arrest,Pickens County,N/A,2025-07-22,163
AL,Alabama,ARREST,Mobile County,STATEWIDE,N/A,2025-07-16,31551
AL,Alabama,ARREST,Montgomery County,Montgomery,N/A,2025-07-07,73841
AL,Alabama,DOC,Alabama Department Of Corrections,STATEWIDE,N/A,2025-03-01,31631
AL,Alabama,ARREST,Alabama Arrest,Escambia County,N/A,2025-07-22,405
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Blount County,N/A,2025-08-04,44
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Lauderdale County,N/A,2025-08-04,44
AL,Alabama,ARREST,Shelby County,STATEWIDE,N/A,2024-05-02,108
